F1	F2	F3	F4	F5	F6	F7	F8	SVM
0.000	0.029	0.000	0.251	0.185	0.738	0.982	0.105	0.738
0.000	0.027	0.000	0.251	0.186	0.741	0.984	0.101	0.711
0.000	0.029	0.000	0.260	0.192	0.740	0.984	0.100	0.722
0.000	0.028	0.000	0.249	0.184	0.739	0.984	0.104	0.704
0.000	0.029	0.000	0.252	0.186	0.739	0.982	0.101	0.753
0.000	0.027	0.000	0.257	0.188	0.733	0.984	0.108	0.688
0.000	0.026	0.000	0.256	0.189	0.737	0.985	0.114	0.643
0.000	0.027	0.000	0.252	0.186	0.737	0.984	0.106	0.699
0.000	0.028	0.000	0.251	0.186	0.741	0.984	0.100	0.726
0.000	0.028	0.000	0.247	0.181	0.736	0.984	0.114	0.661
0.000	0.028	0.000	0.260	0.191	0.734	0.985	0.106	0.683
0.000	0.029	0.000	0.253	0.186	0.736	0.981	0.107	0.742
