OK	F0	F1	F2	F3	F4
fit_ARID3A	1	0.0433618788057919	3.97241915716267	0.00696089276655004	0.159169089827576	0.806238041608263
fit_ATF1	1	0.581077939191025	3.28665766437215	0.0027531910996629	0.195340152656272	0.924374098924688
fit_ATF3	1	0.412246274502701	1.4153159012107	0.0198230728267985	0.0281679593051575	0.656894964822834
fit_BACH1	1	0.668354531936699	4.14502197589458	0.000430761507849405	0.0673589460776899	0.94505276894455
fit_BDP1	1	0.5599245589103	10.0451114580192	5.62073508554904e-05	0.0440769624086125	0.940816310495884
fit_BHLHE40	1	0.590137506416657	4.0361618588056	0.00555115426155897	0.290915660970977	0.937933592717933
fit_CBX3	1	0.364785368604366	2.35709723932765	0.0292272409895013	0.280792079430264	0.828436062634269
fit_CCNT2	1	0.432325903178506	4.19990625195498	0.00400661502374034	0.28333297423293	0.641059027016002
fit_CDP	1	0.670535785143808	2.15623215048099	0.00258185558877927	0.0610100967332938	0.847601609142629
fit_CEBPB	1	0.571060540380292	3.1422873299115	0.00841462805996937	0.169734453306666	0.827898052495682
fit_c.Fos	1	0.56550234828495	8.11033157848195	0.000892630877120556	0.254198569915996	0.948399268176283
fit_CHD1	1	0.272940205871581	3.44517357993622	0.00551975567246038	0.118957705126247	0.664064573144128
fit_CHD2	1	0.518850874749239	5.41416242305973	0.00162662135191277	0.190360740599054	0.96151611798494
fit_c.Jun	1	0.649422079061453	4.58480312191486	0.00429714888212785	0.24188756008056	0.895127856796001
fit_c.Myc	1	0.457871710189352	2.3342210383558	0.0103140488819825	0.166004095191584	0.596719842546985
fit_CREB1	1	0.47678574338144	4.25050122176985	0.00615518946480427	0.226384079491294	0.891718559245787
fit_CTCFL	1	0.667035288615657	5.61352848566454	0.00352255344180383	0.21597604527034	0.863122861941397
fit_CTCF	1	0.593458649684239	6.04487131955844	0.00734862657822731	0.378127809592974	0.668970513159353
fit_E2F4	1	0.442174784822712	5.97382995001976	0.00360017773151977	0.245793881519518	0.772881661468634
fit_E2F6	1	0.419605920825624	7.2324900355959	0.00553526114855845	0.265827060534606	0.742131201609334
fit_EGR1	1	0.532064915222919	6.26430725021816	0.00578683749824958	0.402938731233203	0.935997959188202
fit_ELF1	1	0.506961660774737	5.84350501513047	0.00674507592111008	0.301926550195622	0.779298762130765
fit_ETS1	1	0.389257111561939	3.33460713842903	0.00875603926180366	0.201037571044461	0.798196467993688
fit_EZH2	1	0.094915151455365	1.9976498035483	0.0478134613698022	0.136001149479363	0.659468739247037
fit_FOSL1	1	0.662385336286068	3.99361481448023	0.00465329028625532	0.170852108566761	0.850520824548788
fit_FOS	1	0.708461464261476	6.10345630433104	0.00223143182896297	0.152842759935458	0.863138955674167
fit_GABPA	1	0.542103870700015	12.1477699622581	0.00237321002603466	0.311347999929771	0.887840361415003
fit_GATA1	1	0.686586104872786	3.66098108120481	0.00182325017068137	0.145103076761494	0.933538033216745
fit_GATA2	1	0.667756985463587	1.85396232702806	0.0044760433126093	0.0456114430535237	0.621700114746814
fit_H2AZ	1	0.287824879431091	3.75452270662337	0.0254884830653551	0.470897967358079	0.860077389511484
fit_H3K27ac	1	0.236493998470117	5.82789334489881	0.00942199946021561	0.519611766807053	0.751383451317133
fit_H3K27me3	1	0.184413080390679	2.59842627945443	0.102121585221731	0.390227156291293	0.648732026851213
fit_H3K36me3	1	0.138629540962385	1.74936420455926	0.047600454891905	0.167969085941865	0.31518474629344
fit_H3K4me1	1	0.295376947257843	0.625987330765594	0.0251793426356499	0.00510800413610825	0.430604553305823
fit_H3K4me3	1	0.210346809339819	6.2841922068512	0.00694373983361655	0.612949864336565	0.838818162064574
