F1	F2	F3	F4	F5	F6	F7	F8	SVM
0.095	0.549	0.001	0.688	0.547	0.833	0.965	0.007	0.558
0.085	0.583	0.001	0.688	0.543	0.845	0.975	0.006	0.885
0.121	0.533	0.001	0.688	0.544	0.845	0.978	0.006	0.413
0.079	0.587	0.001	0.688	0.546	0.834	0.973	0.006	0.953
0.100	0.545	0.001	0.689	0.543	0.837	0.973	0.007	0.591
0.089	0.581	0.001	0.693	0.545	0.849	0.972	0.006	0.821
0.089	0.559	0.001	0.693	0.542	0.851	0.971	0.006	0.710
0.098	0.540	0.001	0.683	0.542	0.837	0.974	0.006	0.581
0.093	0.551	0.001	0.693	0.545	0.846	0.969	0.006	0.624
0.122	0.527	0.001	0.688	0.549	0.832	0.973	0.006	0.344
0.090	0.553	0.001	0.679	0.541	0.832	0.975	0.006	0.715
0.083	0.545	0.001	0.684	0.542	0.842	0.974	0.006	0.732
